 sample_idx,lead,heart_rate,r_peaks,pr_interval,qrs_complex,qt_interval,rr_interval,st_segment
954,II,88.311,[ 294  568  840 1112 1384 1653 1924 2194 2465 2740],92.000,155.500,360.500,543.556,78.667
955,II,96.110,[ 138  388  640  893 1145 1395 1643 1890 2140 2388 2636 2885],70.000,122.364,197.818,499.455,40.000
956,II,84.580,[ 317  607  891 1172 1457 1740 2022 2305 2590 2871],89.800,150.444,302.000,567.556,104.444
957,II,75.427,[ 171  494  809 1126 1447 1759 2071 2392 2717],81.111,144.750,375.000,636.500,113.778
958,II,87.961,[ 296  574  846 1112 1385 1658 1928 2200 2474 2752],75.600,122.000,304.000,545.778,112.444
959,II,57.890,[ 388  838 1252 1702 2125 2542 2891],60.286,158.000,388.000,834.333,162.333
960,II,66.779,[ 336  692 1046 1410 1773 2132 2489 2852],38.750,193.143,410.286,718.857,81.250
961,II,60.768,[ 448  837 1240 1638 2026 2422 2818],84.571,145.667,393.000,790.000,115.714
962,II,55.074,[ 494  933 1374 1808 2239 2673],84.333,194.400,451.600,871.600,149.667
963,II,88.270,[ 159  433  704  975 1247 1520 1792 2062 2332 2605 2878],70.182,127.333,305.200,543.800,80.000
964,II,59.977,[ 412  815 1212 1613 2016 2416 2813],82.857,158.667,371.000,800.333,124.667
965,II,72.650,[ 161  487  815 1147 1478 1805 2139 2474 2804],76.000,133.750,260.750,660.750,64.000
966,II,77.798,[ 166  455  711  993 1423 1848 2176 2407 2731],70.000,100.250,302.250,641.250,96.222
967,II,60.322,[ 129  542  935 1330 1724 2102 2505 2916],78.286,126.333,351.000,796.286,117.143
968,II,59.972,[ 295  676 1063 1471 1876 2285 2698],77.714,117.667,375.667,801.000,137.429
969,II,72.925,[ 234  561  887 1219 1549 1874 2204 2536 2867],77.333,160.250,382.000,658.250,100.500
970,II,74.049,[ 212  544  875 1204 1526 1849 2158 2478 2806],84.444,143.000,334.250,648.500,91.556
971,II,86.091,[ 258  525  793 1067 1336 1609 1882 2178 2486 2772],88.400,124.222,319.333,558.667,92.000
972,II,48.437,[ 295  775 1256 1778 2263 2775],77.667,137.600,235.600,992.000,53.000
973,II,59.243,[ 160  557  968 1373 1773 2184 2591],90.333,154.400,418.000,810.333,147.714
974,II,64.742,[ 282  654 1025 1393 1766 2139 2509 2877],70.250,111.143,353.143,741.429,116.857
975,II,77.191,[ 363  667  991 1295 1581 1906 2220 2531 2854],57.333,145.000,347.000,622.750,115.750
976,II,80.831,[ 145  441  740 1046 1360 1664 1954 2233 2520 2820],58.889,132.667,338.000,594.444,142.667
977,II,57.882,[ 397  847 1256 1632 2093 2456 2903],66.000,145.000,230.333,835.333,26.000
978,II,66.009,[ 253  629  998 1349 1724 2082 2430 2800],85.750,139.429,272.857,727.714,35.500
979,II,75.811,[ 210  525  854 1208 1515 1816 2133 2441 2748],88.667,158.250,319.500,634.500,59.556
980,II,91.499,[ 127  390  652  915 1177 1440 1702 1965 2227 2488 2750],73.400,113.800,260.600,524.600,84.909
981,II,77.583,[ 343  650  967 1275 1584 1891 2203 2511 2818],60.667,177.500,351.000,618.750,90.000
982,II,52.391,[ 271  720 1189 1639 2103 2562],91.333,146.400,423.200,916.400,164.667
983,II,108.105,[ 202  425  593  871 1094 1316 1539 1763 1986 2210 2436 2665 2893],96.615,117.333,288.000,448.500,87.000
984,II,72.132,[ 147  478  806 1142 1478 1807 2138 2475 2809],73.750,140.500,312.250,665.500,100.500
985,II,85.144,[ 288  568  849 1131 1412 1697 1977 2257 2539 2825],60.800,114.889,294.444,563.778,127.400
986,II,78.015,[ 363  677 1003 1314 1621 1925 2222 2517 2826],80.444,117.000,251.250,615.750,60.222
987,II,70.088,[ 286  628  971 1311 1653 1997 2339 2683],74.250,152.286,350.286,684.857,148.750
988,II,49.772,[ 214  698 1181 1663 2146 2625],104.333,205.500,432.000,964.400,112.400
989,II,59.022,[ 242  748 1142 1633 1980 2416 2740],80.286,155.667,277.333,832.667,0.571
990,II,69.292,[ 462  806 1154 1506 1857 2193 2537 2887],87.500,132.000,357.714,692.857,81.143
991,II,69.009,[ 379  740 1097 1454 1806 2151 2492 2816],87.750,117.714,366.571,696.286,128.250
992,II,70.461,[ 283  617  959 1306 1628 1957 2300 2671],83.500,97.429,305.714,682.286,110.000
993,II,89.592,[ 132  406  679  954 1228 1496 1765 2031 2294 2551 2812],104.000,85.800,284.400,536.000,90.545
994,II,69.869,[ 124  467  810 1154 1498 1841 2185 2528 2872],49.750,60.000,126.000,687.000,17.250
995,II,62.563,[ 159  560  959 1338 1712 2092 2466 2846],32.286,80.571,283.714,767.714,184.286
996,II,58.042,[ 413  833 1242 1660 2089 2482],78.000,127.200,362.800,827.600,133.000
997,II,59.815,[ 362  757 1203 1613 2022 2444 2784],71.714,121.600,386.400,807.333,156.800
998,II,87.754,[ 158  430  704  978 1251 1522 1794 2070 2344 2619 2893],89.455,177.000,397.000,547.000,102.000
999,II,75.383,[ 192  520  833 1148 1469 1786 2099 2410 2740],90.889,177.250,359.250,637.000,70.889
1000,II,64.185,[ 200  600  989 1349 1691 2058 2444 2823],98.000,128.286,353.429,749.429,115.750
1001,II,51.728,[ 520 1009 1462 1939 2388 2842],75.333,285.333,344.000,928.800,-50.000
1002,II,99.835,[ 151  390  628  864 1101 1333 1565 1806 2051 2300 2552 2797],68.500,201.111,312.182,481.091,-12.889
1003,II,64.560,[ 259  647 1025 1383 1751 2133 2493 2863],75.000,114.000,257.714,744.000,85.429
1004,II,65.756,[ 408  775 1136 1499 1865 2232 2598],76.571,82.667,328.667,730.000,126.571
1005,II,66.904,[ 157  523  892 1249 1611 1969 2314 2669],84.857,161.143,379.429,717.714,95.000
1006,II,71.534,[ 256  588  925 1264 1591 1932 2273 2605],82.250,129.714,342.571,671.143,122.750
1007,II,63.973,[ 199  577  961 1336 1700 2083 2461 2826],57.750,122.571,167.714,750.571,8.750
1008,II,78.632,[ 345  660  980 1253 1592 1814 2227 2541],45.500,132.571,252.857,627.429,52.750
1009,II,105.267,[ 162  392  621  850 1078 1306 1533 1758 1984 2211 2440 2669 2898],85.231,122.000,284.167,456.000,75.500
1010,II,68.522,[ 260  588  945 1220 1864 2171 2480 2862],46.250,135.714,235.714,743.429,12.500
1011,II,83.581,[ 238  520  810 1098 1383 1676 1970 2253 2532 2823],91.200,131.778,292.889,574.444,51.600
1012,II,70.500,[ 192  530  860 1205 1554 1893 2234 2578 2916],74.667,76.000,270.500,681.000,106.000
1013,II,115.668,[ 190  395  601  810 1016 1225 1431 1639 1847 2055 2263 2470 2680],49.538,,,415.000,
1014,II,62.645,[ 222  599  986 1370 1748 2134 2521 2904],70.500,130.571,218.571,766.286,18.000
1015,II,97.529,[ 222  466  707  952 1199 1446 1693 1938 2187 2435 2683],62.364,85.600,279.800,492.200,94.909
1016,II,75.701,[ 370  746 1110 1450 1762 2059 2356 2617],68.250,153.429,417.429,642.000,153.250
1017,II,77.853,[ 376  696 1017 1339 1557 1979 2289 2595],90.250,149.000,352.000,634.000,70.667
1018,II,80.794,[ 300  579  865 1156 1454 1757 2065 2374 2679],89.111,141.250,379.250,594.750,100.889
1019,II,68.916,[ 171  532  877 1216 1571 1928 2267 2610],68.500,76.000,342.571,696.857,138.500
1020,II,73.652,[ 208  536  865 1193 1519 1842 2168 2494 2815],98.889,96.000,333.000,651.750,119.556
1021,II,60.383,[ 275  669 1063 1465 1859 2256 2660],61.429,154.333,403.333,795.000,155.714
1022,II,66.345,[ 243  626 1016 1375 1663 2019 2352 2817],41.750,116.000,392.857,735.429,187.000
1023,II,48.721,[ 312  626 1874 2203 2849],104.000,294.000,566.000,1268.500,96.000
1024,II,98.283,[ 261  505  747  990 1232 1479 1724 1969 2213 2458 2703],80.182,148.000,334.200,488.400,88.727
1025,II,62.282,[ 172  600 1001 1357 1713 2092 2493],88.000,90.667,332.333,773.667,128.000
1026,II,58.847,[ 200  606  995 1401 1794 2206 2651],93.143,152.000,391.000,817.000,122.857
1027,II,80.942,[ 242  533  819 1107 1396 1693 1999 2309 2616],89.778,117.250,332.000,593.500,113.111
1028,II,57.842,[ 207  620 1036 1446 1854 2270 2697],87.143,137.000,381.667,830.000,135.429
1029,II,80.027,[ 390  673  908 1194 1517 1897 2310 2637 2870],62.667,138.000,391.333,620.000,61.111
1030,II,56.878,[ 157  673 1078 1481 1886 2296 2706],82.667,142.000,396.800,849.667,159.714
1031,II,67.962,[ 245  433  837 1251 1656 2066 2479 2885],83.429,183.143,301.429,754.286,35.429
